mode,route,contrast,metric,compared_mean,reference_mean,mean_difference,sd_difference,ci95_low,ci95_high,positive_flights,n_flights,sign_flip_p,bootstrap_resamples,bootstrap_seed
attitude_absolute,bot,group,vt_rmse_3d_cm,4.21439802982791,3.72837709070976,0.486020939118159,0.285047897591952,0.257777813363307,0.698548474985234,5,5,0.0625,20000,20260722
attitude_absolute,bot,group,visual_dispersion_3d_cm,3.02451107491746,2.60753224714646,0.416978827771001,0.332847997434926,0.166440003309996,0.677221655203977,5,5,0.0625,20000,20260722
attitude_absolute,bot,group,kt_rmse_3d_cm,2.9449644310185,2.51983016251332,0.425134268505181,0.372820335405522,0.156664578168188,0.745981862730227,4,5,0.125,20000,20260722
attitude_absolute,bot,group,kalman_pos_std_3d_cm,2.74376856298832,2.33479259859279,0.408975964395522,0.413237081119507,0.112777412408346,0.751048977817415,4,5,0.125,20000,20260722
attitude_absolute,bot,group,rpy_std_deg,4.73719737305785,4.06722788467655,0.669969488381305,0.297144654503268,0.442233888585817,0.912702272002915,5,5,0.0625,20000,20260722
attitude_absolute,mid,group,vt_rmse_3d_cm,3.60890017158843,3.43338927437102,0.175510897217414,0.350985905535428,-0.0825639446296973,0.467810539475931,2,5,0.5,20000,20260722
attitude_absolute,mid,M6_minus_M8,vt_rmse_3d_cm,3.9277808426663,3.43338927437102,0.494391568295279,0.32159433836643,0.275809138057017,0.767606889356284,5,5,0.0625,20000,20260722
attitude_absolute,mid,M7_minus_M8,vt_rmse_3d_cm,3.29001950051057,3.43338927437102,-0.143369773860451,0.497752630206942,-0.466539152230931,0.292293326062253,1,5,0.5,20000,20260722
attitude_absolute,mid,M6_minus_M7,vt_rmse_3d_cm,3.9277808426663,3.29001950051057,0.637761342155731,0.457817403728217,0.257535528771899,0.954271804142402,4,5,0.125,20000,20260722
attitude_absolute,mid,group,visual_dispersion_3d_cm,3.0811737830656,3.28769245018867,-0.206518667123075,0.342370736291988,-0.451363548554616,0.078002988997276,2,5,0.25,20000,20260722
attitude_absolute,mid,M6_minus_M8,visual_dispersion_3d_cm,3.52220752173509,3.28769245018867,0.234515071546417,0.34739436529963,-0.0304487912401936,0.510676583420427,3,5,0.25,20000,20260722
attitude_absolute,mid,M7_minus_M8,visual_dispersion_3d_cm,2.64014004439611,3.28769245018867,-0.647552405792566,0.451843591630831,-0.938756100839842,-0.260499409182489,1,5,0.125,20000,20260722
attitude_absolute,mid,M6_minus_M7,visual_dispersion_3d_cm,3.52220752173509,2.64014004439611,0.882067477338983,0.425229430311559,0.549295489648294,1.21483946502967,5,5,0.0625,20000,20260722
attitude_absolute,mid,group,kt_rmse_3d_cm,2.5182705360481,2.97838471073527,-0.460114174687169,0.332392037457623,-0.70352990474988,-0.185340299282728,0,5,0.0625,20000,20260722
attitude_absolute,mid,M6_minus_M8,kt_rmse_3d_cm,3.05206859640286,2.97838471073527,0.0736838856675905,0.395151035265288,-0.224549910982449,0.386258240588151,2,5,0.6875,20000,20260722
attitude_absolute,mid,M7_minus_M8,kt_rmse_3d_cm,1.98447247569334,2.97838471073527,-0.993912235041928,0.358636565883572,-1.24273087049917,-0.68729721084224,0,5,0.0625,20000,20260722
attitude_absolute,mid,M6_minus_M7,kt_rmse_3d_cm,3.05206859640286,1.98447247569334,1.06759612070952,0.357199087147576,0.820933525502939,1.37316666835335,5,5,0.0625,20000,20260722
attitude_absolute,mid,group,kalman_pos_std_3d_cm,2.46067692955279,2.94192441718015,-0.481247487627359,0.34819066988891,-0.737757813673115,-0.206412643578195,1,5,0.125,20000,20260722
attitude_absolute,mid,M6_minus_M8,kalman_pos_std_3d_cm,2.97782038612647,2.94192441718015,0.0358959689463226,0.412080404214057,-0.282200688780949,0.353992626673594,2,5,0.8125,20000,20260722
attitude_absolute,mid,M7_minus_M8,kalman_pos_std_3d_cm,1.94353347297911,2.94192441718015,-0.99839094420104,0.358024308188237,-1.23780995710842,-0.704442807399931,0,5,0.0625,20000,20260722
attitude_absolute,mid,M6_minus_M7,kalman_pos_std_3d_cm,2.97782038612647,1.94353347297911,1.03428691314736,0.333221186587858,0.794091492775867,1.32528322987056,5,5,0.0625,20000,20260722
attitude_absolute,mid,group,rpy_std_deg,4.70667844648648,6.44367497422971,-1.73699652774323,0.891774086661746,-2.5218102692836,-1.13190032444647,0,5,0.0625,20000,20260722
attitude_absolute,mid,M6_minus_M8,rpy_std_deg,5.47089545160515,6.44367497422971,-0.972779522624556,1.45090745500747,-2.08475669588363,0.139197650634521,1,5,0.3125,20000,20260722
attitude_absolute,mid,M7_minus_M8,rpy_std_deg,3.94246144136781,6.44367497422971,-2.50121353286191,1.29310517706556,-3.4614632089263,-1.45783334096831,0,5,0.0625,20000,20260722
