mode,route,contrast,metric,test,compared_mean,reference_mean,difference
attitude_absolute,mid,M7_minus_M8,vt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test1,3.21840957714821,3.63733014024243,-0.418920563094213
attitude_absolute,mid,M7_minus_M8,vt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test2,3.01619580385,3.61816815207231,-0.601972348222309
attitude_absolute,mid,M7_minus_M8,vt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test3,3.77247648357756,3.09138098112606,0.681095502451498
attitude_absolute,mid,M7_minus_M8,vt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test4,3.20185423641102,3.49276417493263,-0.290909938521614
attitude_absolute,mid,M7_minus_M8,vt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test5,3.24116140156605,3.32730292348167,-0.0861415219156187
attitude_absolute,mid,M6_minus_M7,vt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test1,3.98860502402588,3.21840957714821,0.770195446877663
attitude_absolute,mid,M6_minus_M7,vt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test2,3.92069626689565,3.01619580385,0.904500463045648
attitude_absolute,mid,M6_minus_M7,vt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test3,3.68823873361228,3.77247648357756,-0.084237749965276
attitude_absolute,mid,M6_minus_M7,vt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test4,3.70412146336011,3.20185423641102,0.502267226949092
attitude_absolute,mid,M6_minus_M7,vt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test5,4.33724272543757,3.24116140156605,1.09608132387153
attitude_absolute,mid,group,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test1,3.01622648985909,3.50027984666165,-0.484053356802561
attitude_absolute,mid,group,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test2,3.0640616678768,3.4958812342475,-0.431819566370709
attitude_absolute,mid,group,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test3,3.22551701195839,2.94265860305614,0.282858408902253
attitude_absolute,mid,group,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test4,2.89203355423865,3.31710545066519,-0.425071896426538
attitude_absolute,mid,group,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test5,3.20803019139506,3.18253711631288,0.0254930750821822
attitude_absolute,mid,M6_minus_M8,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test1,3.49512279826018,3.50027984666165,-0.00515704840146602
attitude_absolute,mid,M6_minus_M8,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test2,3.67016393101751,3.4958812342475,0.174282696770001
attitude_absolute,mid,M6_minus_M8,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test3,3.40572260147569,2.94265860305614,0.463063998419553
attitude_absolute,mid,M6_minus_M8,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test4,3.15899917258117,3.31710545066519,-0.158106278084019
attitude_absolute,mid,M6_minus_M8,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test5,3.88102910534089,3.18253711631288,0.698491989028015
attitude_absolute,mid,M7_minus_M8,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test1,2.53733018145799,3.50027984666165,-0.962949665203656
attitude_absolute,mid,M7_minus_M8,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test2,2.45795940473608,3.4958812342475,-1.03792182951142
attitude_absolute,mid,M7_minus_M8,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test3,3.04531142244109,2.94265860305614,0.102652819384953
attitude_absolute,mid,M7_minus_M8,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test4,2.62506793589613,3.31710545066519,-0.692037514769059
attitude_absolute,mid,M7_minus_M8,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test5,2.53503127744923,3.18253711631288,-0.647505838863651
attitude_absolute,mid,M6_minus_M7,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test1,3.49512279826018,2.53733018145799,0.95779261680219
attitude_absolute,mid,M6_minus_M7,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test2,3.67016393101751,2.45795940473608,1.21220452628142
attitude_absolute,mid,M6_minus_M7,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test3,3.40572260147569,3.04531142244109,0.3604111790346
attitude_absolute,mid,M6_minus_M7,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test4,3.15899917258117,2.62506793589613,0.53393123668504
attitude_absolute,mid,M6_minus_M7,visual_dispersion_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test5,3.88102910534089,2.53503127744923,1.34599782789167
attitude_absolute,mid,group,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test1,2.42898876552977,3.23541623373795,-0.806427468208184
attitude_absolute,mid,group,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test2,2.53021032012327,3.17305250860465,-0.642842188481383
attitude_absolute,mid,group,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test3,2.33251937586023,2.33320688555703,-0.000687509696803978
attitude_absolute,mid,group,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test4,2.34378175826094,2.9628919686312,-0.619110210370265
attitude_absolute,mid,group,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test5,2.95585246046631,3.18735595714552,-0.231503496679209
attitude_absolute,mid,M6_minus_M8,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test1,2.9990649067771,3.23541623373795,-0.236351326960853
attitude_absolute,mid,M6_minus_M8,kt_rmse_3d_cm,QR_motioncap_brushless_Light_mid_NoWind_test2,3.04091717617015,3.17305250860465,-0.132135332434498
