mode,scope,metric,pearson_r,ci95_low,ci95_high,n_windows,n_flights,resamples,valid_resamples,seed,resampling_unit
attitude_run_centered,mid|reference,kalman_pos_std_3d_cm,0.82980184869,-0.277446961192511,1,5,5,20000,19958,20260907,whole flight within route
attitude_run_centered,mid|reference,rpy_std_deg,-0.0110332244310981,-1.00000000000002,1.00000000000003,5,5,20000,19958,20260907,whole flight within route
attitude_run_centered,top|compared,kalman_pos_std_3d_cm,0.800614187348373,0.496404164988976,0.961589701190041,10,5,20000,20000,20260907,whole flight within route
attitude_run_centered,top|compared,rpy_std_deg,0.702633929330748,-0.0552336302262613,0.945465808523765,10,5,20000,20000,20260907,whole flight within route
attitude_run_centered,top|reference,kalman_pos_std_3d_cm,0.97758741252409,0.937499253106785,0.987395108676472,15,5,20000,20000,20260907,whole flight within route
attitude_run_centered,top|reference,rpy_std_deg,0.812422455017287,0.568751784200887,0.954669453864466,15,5,20000,20000,20260907,whole flight within route
original_static,pooled,kalman_pos_std_3d_cm,0.723497876409473,0.650600610139907,0.79193008387868,65,15,20000,20000,20260907,whole flight within route
original_static,pooled,rpy_std_deg,0.922307802207058,0.886644010620607,0.948427052937936,65,15,20000,20000,20260907,whole flight within route
original_static,six_group_centered,kalman_pos_std_3d_cm,0.64491345830373,0.448668033206085,0.808142179213297,65,15,20000,20000,20260907,whole flight within route
original_static,six_group_centered,rpy_std_deg,0.811654610066823,0.667721036231021,0.899075224496766,65,15,20000,20000,20260907,whole flight within route
original_static,route_top,kalman_pos_std_3d_cm,0.902507699029283,0.80211845583962,0.978090246667389,25,5,20000,20000,20260907,whole flight within route
original_static,route_top,rpy_std_deg,0.955199175787731,0.907775757578484,0.981444113753154,25,5,20000,20000,20260907,whole flight within route
original_static,route_mid,kalman_pos_std_3d_cm,0.734820124860245,0.430883829717588,0.928397357111809,15,5,20000,20000,20260907,whole flight within route
original_static,route_mid,rpy_std_deg,0.828548540989657,0.778116180016206,0.897369187627734,15,5,20000,20000,20260907,whole flight within route
original_static,route_bot,kalman_pos_std_3d_cm,0.679822912086777,0.518319028892769,0.797525264947942,25,5,20000,20000,20260907,whole flight within route
original_static,route_bot,rpy_std_deg,0.71434651465378,0.528729885897321,0.856620485917657,25,5,20000,20000,20260907,whole flight within route
original_static,bot|compared,kalman_pos_std_3d_cm,-0.529277826007448,-0.861699434742226,-0.114501503344668,10,5,20000,20000,20260907,whole flight within route
original_static,bot|compared,rpy_std_deg,0.656195534622732,0.487737449254462,0.899805050194622,10,5,20000,20000,20260907,whole flight within route
original_static,bot|reference,kalman_pos_std_3d_cm,0.83774185016899,0.731801193255896,0.935575894673436,15,5,20000,20000,20260907,whole flight within route
original_static,bot|reference,rpy_std_deg,0.69517956249225,0.382654819811896,0.858638759249609,15,5,20000,20000,20260907,whole flight within route
original_static,mid|compared,kalman_pos_std_3d_cm,0.716780295015635,0.342022153400774,0.995350529642741,10,5,20000,20000,20260907,whole flight within route
original_static,mid|compared,rpy_std_deg,0.891076394166986,0.796147289850123,0.96574694966238,10,5,20000,20000,20260907,whole flight within route
original_static,mid|reference,kalman_pos_std_3d_cm,0.626835254829951,0.425911728447292,1.00000000000049,5,5,20000,19958,20260907,whole flight within route
original_static,mid|reference,rpy_std_deg,0.432802784778707,-0.999999999999778,1.00000000000003,5,5,20000,19958,20260907,whole flight within route
original_static,top|compared,kalman_pos_std_3d_cm,0.467825714674391,-0.545385433399295,0.914192751165485,10,5,20000,20000,20260907,whole flight within route
original_static,top|compared,rpy_std_deg,0.771397374684759,0.31584905723786,0.962805458032046,10,5,20000,20000,20260907,whole flight within route
original_static,top|reference,kalman_pos_std_3d_cm,0.746699190954746,0.359427018543134,0.971262973520171,15,5,20000,20000,20260907,whole flight within route
original_static,top|reference,rpy_std_deg,0.938935710068342,0.753667725839994,0.984612346368438,15,5,20000,20000,20260907,whole flight within route
