mode,level,marker,comparison_role,geometry,vt_rmse_3d_cm,visual_dispersion_3d_cm,kt_rmse_3d_cm,kalman_pos_std_3d_cm,rpy_std_deg
attitude_absolute,bot,10,reference,Open-side locations,3.53632513953438,2.98140219693213,2.80829997487905,2.71737840653901,4.61294013744459
attitude_absolute,bot,11,compared,Upper and lower boundaries,4.08085307854534,2.85994553590231,2.78655555365596,2.5723136650718,5.4033176247155
attitude_absolute,bot,12,reference,Open-side locations,4.35247604269787,2.83230981806865,2.71009595169528,2.50215420879987,3.81241268324246
attitude_absolute,bot,13,compared,Upper and lower boundaries,4.34794298111049,3.18907661393262,3.10337330838105,2.91522346090484,4.07107712140021
attitude_absolute,bot,14,reference,Open-side locations,3.29633008989701,2.0088847264386,2.04109456096564,1.78484518043951,3.7763308333426
attitude_absolute,mid,6,compared,Opposing vertical surfaces,3.9277808426663,3.52220752173509,3.05206859640286,2.97782038612647,5.47089545160516
attitude_absolute,mid,7,compared,Opposing vertical surfaces,3.29001950051057,2.64014004439611,1.98447247569334,1.94353347297911,3.94246144136781
attitude_absolute,mid,8,reference,Opening toward M9,3.43338927437102,3.28769245018867,2.97838471073527,2.94192441718015,6.44367497422971
attitude_absolute,top,1,reference,Open-side locations,3.81113266340887,2.06923373586904,2.17565688406587,2.03775593953823,5.14242720108043
attitude_absolute,top,2,compared,Upper and lower boundaries,4.46639693161458,3.54927226647824,3.22298488711922,3.21078723777949,8.05006036489026
attitude_absolute,top,3,reference,Open-side locations,3.91997576414888,2.62606020742057,3.25181315023948,2.47879988882461,5.81091957543557
attitude_absolute,top,4,compared,Upper and lower boundaries,4.75014298895053,3.89503638857381,3.25386288587633,3.23688628445009,9.91177740997797
attitude_absolute,top,5,reference,Open-side locations,3.03749940770914,1.81285611039354,1.62180517089824,1.57745836029781,3.71623503119439
attitude_run_centered,bot,10,reference,Open-side locations,3.53955406257027,2.9816191801034,2.80829997487905,2.71737840653901,4.61294013744459
attitude_run_centered,bot,11,compared,Upper and lower boundaries,4.08070258301003,2.8596816914499,2.78655555365596,2.5723136650718,5.4033176247155
attitude_run_centered,bot,12,reference,Open-side locations,4.3589429491484,2.83196207746842,2.71009595169528,2.50215420879987,3.81241268324246
attitude_run_centered,bot,13,compared,Upper and lower boundaries,4.36193375571723,3.18906469598454,3.10337330838105,2.91522346090484,4.07107712140021
attitude_run_centered,bot,14,reference,Open-side locations,3.31855698884314,2.00869079273071,2.04109456096564,1.78484518043951,3.7763308333426
attitude_run_centered,mid,6,compared,Opposing vertical surfaces,3.91852969215896,3.52188546948544,3.05206859640286,2.97782038612647,5.47089545160516
attitude_run_centered,mid,7,compared,Opposing vertical surfaces,3.29059071847024,2.64031623094586,1.98447247569334,1.94353347297911,3.94246144136781
attitude_run_centered,mid,8,reference,Opening toward M9,3.42035896327073,3.28796647707503,2.97838471073527,2.94192441718015,6.44367497422971
attitude_run_centered,top,1,reference,Open-side locations,3.96603768279672,2.06938793812093,2.17565688406587,2.03775593953823,5.14242720108043
attitude_run_centered,top,2,compared,Upper and lower boundaries,4.62077621932311,3.5487591112997,3.22298488711922,3.21078723777949,8.05006036489026
attitude_run_centered,top,3,reference,Open-side locations,4.06731167930369,2.62592931146847,3.25181315023948,2.47879988882461,5.81091957543557
attitude_run_centered,top,4,compared,Upper and lower boundaries,4.89500031006502,3.89526068571975,3.25386288587633,3.23688628445009,9.91177740997797
attitude_run_centered,top,5,reference,Open-side locations,3.22520071144703,1.81273276164675,1.62180517089824,1.57745836029781,3.71623503119439
original_static,bot,10,reference,Open-side locations,3.69609711587751,3.17144315233424,2.80829997487905,2.71737840653901,4.61294013744459
original_static,bot,11,compared,Upper and lower boundaries,4.72712236242222,3.68772340364929,2.78655555365596,2.5723136650718,5.4033176247155
original_static,bot,12,reference,Open-side locations,4.58585029864926,3.09217278506457,2.71009595169528,2.50215420879987,3.81241268324246
original_static,bot,13,compared,Upper and lower boundaries,4.58949004237988,3.45424625336295,3.10337330838105,2.91522346090484,4.07107712140021
original_static,bot,14,reference,Open-side locations,3.73836722217463,2.71785026321905,2.04109456096564,1.78484518043951,3.7763308333426
original_static,mid,6,compared,Opposing vertical surfaces,4.6512318013281,4.31976685672496,3.05206859640286,2.97782038612647,5.47089545160516
original_static,mid,7,compared,Opposing vertical surfaces,3.97724108327661,3.41448086746708,1.98447247569334,1.94353347297911,3.94246144136781
original_static,mid,8,reference,Opening toward M9,4.29020549928891,4.18963823569565,2.97838471073527,2.94192441718015,6.44367497422971
original_static,top,1,reference,Open-side locations,4.86899095719833,3.79753553690532,2.17565688406587,2.03775593953823,5.14242720108043
original_static,top,2,compared,Upper and lower boundaries,5.76480545185678,5.33847631024983,3.22298488711922,3.21078723777949,8.05006036489026
original_static,top,3,reference,Open-side locations,4.71166571269969,3.83072264477219,3.25181315023948,2.47879988882461,5.81091957543557
original_static,top,4,compared,Upper and lower boundaries,6.56875589785376,5.56311249707598,3.25386288587633,3.23688628445009,9.91177740997797
original_static,top,5,reference,Open-side locations,3.57165505454738,2.58416324187592,1.62180517089824,1.57745836029781,3.71623503119439
