route,flights,detection_records,video_frames,frames_without_detection_record,pooled_detection_frame_fraction,pooled_detection_frame_percent,min_flight_percent,max_flight_percent
TOP,5,5421,7560,2139,0.7170634920634921,71.7063492063492,65.80086580086581,79.59770114942529
MID,5,3550,5548,1998,0.6398702235039654,63.987022350396536,57.41379310344828,71.03513770180437
BOT,5,5313,7063,1750,0.7522299306243806,75.22299306243806,71.12998040496407,81.96480938416423
ALL,15,14284,20171,5887,0.7081453571959744,70.81453571959744,57.41379310344828,81.96480938416423
