time_basis,test,level,run,segment,marker,time,vision_x,vision_y,vision_z,mocap_x_interp,mocap_y_interp,mocap_z_interp,error_x,error_y,error_z,error_3d,target_x,target_y,target_z,roll_deg,pitch_deg,yaw_deg,marker_x,marker_y,marker_z,absolute_x,absolute_y,absolute_z,centered_x,centered_y,centered_z,run_reference_roll_deg,run_reference_pitch_deg,run_reference_yaw_deg
timestamp,QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,1766436168.57,0.8545476999306643,-1.7526593464308238,0.3879563294257453,0.8499816834926606,-1.7060169339179994,0.3876553803682326,0.0045660164380036,-0.0466424125128244,0.0003009490575126,0.0468663388954569,0.875,-1.734,0.4,0.8062596321105957,-2.1303231716156006,-4.277370452880859,1.2702,-1.7605,0.41,0.8574127412026864,-1.7214534943937896,0.37263312712774854,0.8574930686460795,-1.7207791439653248,0.3724570083502903,-0.0940594151616096,0.027651016054135443,0.08813946135342116
timestamp,QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,1766436168.71,0.8538570940268839,-1.7600672066455807,0.380677149585591,0.8478400111198425,-1.721674418449402,0.3865321218967437,0.0060170829070413,-0.0383927881961787,-0.0058549723111527,0.03930002764568,0.875,-1.734,0.4,-1.030077874660492,-1.767594575881958,-3.6051923036575317,1.2702,-1.7605,0.41,0.8557755835224583,-1.7344835295299994,0.3678457770539521,0.8558405029346837,-1.733801016492169,0.3676348764656695,-0.0940594151616096,0.027651016054135443,0.08813946135342116
timestamp,QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,1766436168.85,0.8610597264419664,-1.7658436994625486,0.3869650234921902,0.8507477817289031,-1.7334739098268828,0.3861217849409749,0.0103119447130632,-0.0323697896356658,0.0008432385512153,0.0339830919146093,0.875,-1.734,0.4,-1.1533907651901243,-0.7499979734420777,-2.9785494804382324,1.2702,-1.7605,0.41,0.8616453919161173,-1.7450560777899524,0.3817237521230451,0.8616861373106894,-1.7443940234926083,0.38150525969224497,-0.0940594151616096,0.027651016054135443,0.08813946135342116
timestamp,QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,1766436169.0,0.8604186629392474,-1.7709435038213444,0.3916962253886284,0.8567821741104126,-1.7434624195098878,0.3871501475572586,0.0036364888288348,-0.0274810843114565,0.0045460778313698,0.0280909392791429,0.875,-1.734,0.4,-0.5672657489776611,0.0490197762846946,-2.445962429046631,1.2702,-1.7605,0.41,0.8603231906916327,-1.753625578410017,0.39215111601853275,0.8603444171727834,-1.7529672594363968,0.39193073921399973,-0.0940594151616096,0.027651016054135443,0.08813946135342116
timestamp,QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,1766436169.15,0.8645186866369594,-1.7751606812700813,0.3958804955626598,0.862025746355357,-1.7500160644469132,0.3890734625960806,0.0024929402816024,-0.0251446168231681,0.0068070329665791,0.0261687256900232,0.875,-1.734,0.4,-0.3412442505359649,0.8078506588935852,-2.7037506103515625,1.2702,-1.7605,0.41,0.8641174301482313,-1.7560839368138539,0.40168923340840795,0.8641295878679378,-1.7554374995204975,0.40146680173599764,-0.0940594151616096,0.027651016054135443,0.08813946135342116
timestamp,QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,1766436169.28,0.8695573607935544,-1.7834431302242966,0.4030475742338987,0.8645973404248556,-1.7550874286227756,0.3929419451289706,0.0049600203686988,-0.028355701601521,0.010105629104928,0.0305085456057606,0.875,-1.734,0.4,-0.6639779806137085,0.6210914254188538,-3.1108179092407227,1.2702,-1.7605,0.41,0.8688495144524555,-1.7617437647005711,0.4076572240934749,0.868849515087478,-1.7611174434641992,0.40742030566147835,-0.0940594151616096,0.027651016054135443,0.08813946135342116
timestamp,QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,1766436169.43,0.8820380411319046,-1.7875891028253998,0.4034393063189416,0.8651853799819946,-1.7584226608276368,0.3968124508857726,0.01685266114991,-0.029166441997763,0.0066268554331689,0.0343308715236692,0.875,-1.734,0.4,-2.3117737770080566,0.0428865291178226,-3.099621534347534,1.2702,-1.7605,0.41,0.8811240517363674,-1.7668027167424714,0.4048278872597275,0.8811182754730257,-1.7662030689332067,0.40457274013544275,-0.0940594151616096,0.027651016054135443,0.08813946135342116
timestamp,QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,1766436169.6,0.8870256998777315,-1.7843596940286426,0.4016342006017669,0.8675072184632041,-1.7537593021598958,0.399935998629874,0.0195184814145273,-0.0306003918687467,0.0016982019718928,0.0363350930807594,0.875,-1.734,0.4,-1.3721686601638794,-0.8888750970363617,-1.9838207960128784,1.2702,-1.7605,0.41,0.8865895915379173,-1.7712800937784385,0.3962646452326735,0.886581830588042,-1.770681439721283,0.39602665912809876,-0.0940594151616096,0.027651016054135443,0.08813946135342116
timestamp,QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,1766436169.72,0.8782895803781462,-1.7769561877266742,0.4030035748016554,0.8719986026937311,-1.7468497319654983,0.4042877202684229,0.0062909776844151,-0.0301064557611756,-0.0012841454667675,0.0307835038341195,0.875,-1.734,0.4,0.0736655965447425,-0.3960517942905426,-1.7544125318527222,1.2702,-1.7605,0.41,0.8780275992438165,-1.7649427109825215,0.40027356732988584,0.8780264902991943,-1.764327390575057,0.4000590514251873,-0.0940594151616096,0.027651016054135443,0.08813946135342116
timestamp,QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,1766436169.87,0.8899027424810828,-1.7731639257072245,0.4167493911499151,0.8781050021658565,-1.7416355166345237,0.4080865118962387,0.0117977403152262,-0.0315284090727008,0.0086628792536764,0.0347602176656714,0.875,-1.734,0.4,2.9231414794921875,1.0459214448928833,-3.315392017364502,1.2702,-1.7605,0.41,0.8899622276410475,-1.7514865615486597,0.4230356346377001,0.8899706246846761,-1.750902172120023,0.4228622400431342,-0.0940594151616096,0.027651016054135443,0.08813946135342116
