stage,flight_id,unit_id,timestamp,original_x,original_y,original_z,reference_x,reference_y,reference_z,marker_x,marker_y,marker_z,target_x,target_y,target_z,nominal_heading_deg,roll_deg,pitch_deg,yaw_deg,absolute_x,absolute_y,absolute_z,centered_x,centered_y,centered_z,run_reference_roll_deg,run_reference_pitch_deg,run_reference_yaw_deg
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767633.25,1.0094508121126438,0.0031056032934032,1.2024357033889392,1.0061477422714231,0.0017628109781071,1.206523895263672,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.9044463634490968,0.45096728205680836,2.429042100906372,1.0095639564262942,-0.00712981790114983,1.2043776550116396,1.009524133799357,-0.005816258218748692,1.2041253038027309,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767633.38,1.0032861719411847,0.0073581727954142,1.203540047185972,1.001862645149231,0.0067646270617842,1.2042953968048096,1.25,0.0,1.2,1.0,0.0,1.2,0.0,1.0513018369674685,-0.0391322895884513,1.918375015258789,1.003177892314439,-0.0009711056733974399,1.2035059531983756,1.0031726450440828,0.0003806222616062662,1.20324030377593,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767633.46,1.0032547438268014,0.0096955828595526,1.1997304984611912,1.0053688287734983,0.0112203210592269,1.2017042636871338,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.8107592463493347,-0.0111277578398585,1.5926507711410522,1.0030805423262383,0.0028367852388327427,1.1998197955399639,1.0030999607062374,0.004178471774790678,1.199542427700701,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767633.64,1.000505156168141,0.0100760381887147,1.1984154463776415,1.002709984779358,0.0112472539767622,1.2008994817733765,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.6647548079490662,-0.0745913609862327,0.8533979654312134,1.0003846157536056,0.006376666262564144,1.1982076469803657,1.000425033286919,0.007728962661954831,1.197923083829141,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767633.72,0.9957768613790076,0.0100323298589762,1.1982800504666151,1.0014753341674805,0.013127552345395,1.2007145881652832,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.2371446937322616,0.14121720194816592,0.751096785068512,0.9956637373560959,0.006705911861243434,1.1989481779878162,0.9957051392691594,0.008081264147812605,1.198648314104288,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767633.89,0.9914232166641376,0.0097066338160263,1.1985432348725134,0.9988287687301636,0.0125281577929854,1.200757622718811,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.23954397439956662,0.1877204030752182,0.5819827914237976,0.9913346494551099,0.007085652752000819,1.1994310205945924,0.9913776219712559,0.008485148917404196,1.1991272940910587,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767634.03,0.9912115625438448,0.0097660743992577,1.198743590435428,0.9966164231300354,0.0152027821168303,1.201120138168335,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.1682855784893036,-0.4691674411296844,0.4741562306880951,0.9911583033498038,0.007627941084293732,1.1966532515441874,0.9912075020711866,0.009028657421797856,1.1963480832308078,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767634.15,0.9929399518153914,0.0098523728734657,1.1969004268166838,0.9949604272842408,0.0148754101246595,1.2002098560333252,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.6540539264678955,0.0453290864825248,0.47795429825782776,0.992864137115071,0.0077424117567791205,1.1972164669139125,0.99291305451725,0.009131635887065958,1.1969241804010404,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767634.29,0.990731647913712,0.0110905264303245,1.1987966942383237,0.994690239429474,0.0138027677312493,1.2049942016601562,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.4851335287094116,-0.030103867873549395,1.1299586296081543,0.9905637837064991,0.005985341989649308,1.1987544192615596,0.9906016488302039,0.007391036198028644,1.198452709106931,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767634.41,0.9957219757289666,0.0134445200935238,1.2004574685014886,0.9942484498023988,0.0156566146761178,1.2064470052719116,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.3324017822742462,-0.2504279613494873,1.8432773351669312,0.9954212805101865,0.005255654297133466,1.1994240607747688,0.9954544591627559,0.0066384002839528266,1.199118350012632,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767634.54,0.9937397089494406,0.0159412307641362,1.2019187986732518,0.9940596222877502,0.0149131147190928,1.207140564918518,1.25,0.0,1.2,1.0,0.0,1.2,0.0,-0.038341104984283406,-0.391136109828949,2.2743351459503174,0.9933018572769478,0.005760184858635057,1.2001587100221942,0.9933369797279528,0.007156010094607529,1.199835865001134,0.1444325149059295,0.062363717705011305,0.3107174038887024
E1_fixed_1p2,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,E1_fixed_1p2|QR_hover_Light_1p2_0p1_NoWind_test10,1736767634.7,0.9932770134947176,0.0175398865109097,1.2024005179974724,0.9954648613929749,0.0161898620426654,1.206663966178894,1.25,0.0,1.2,1.0,0.0,1.2,0.0,0.097347468137741,-0.6012327671051025,2.0143425464630127,0.9928079152759187,0.008500819303509842,1.199736310574313,0.9928585564603594,0.009901260099632422,1.1994126598494896,0.1444325149059295,0.062363717705011305,0.3107174038887024
