mode,level,role,rmse_3d_cm,mean_offset_norm_cm,dispersion_3d_cm,mean_offset_squared_cm2,temporal_mean_square_cm2,mse_cm2,bias_x_cm,sd_x_cm,rmse_x_cm,p95_abs_x_cm,min_signed_x_cm,max_signed_x_cm,bias_y_cm,sd_y_cm,rmse_y_cm,p95_abs_y_cm,min_signed_y_cm,max_signed_y_cm,bias_z_cm,sd_z_cm,rmse_z_cm,p95_abs_z_cm,min_signed_z_cm,max_signed_z_cm
attitude_absolute,bot,compared,4.21439802982791,2.72496894582741,3.02451107491746,10.1784765796872,9.13896094996928,19.3174375296565,1.11972960788183,1.82082006095193,2.19042627974479,4.30848745086778,-3.43586574341533,7.01720283837076,-0.38724047044017,1.86580667854497,2.89891219465761,5.18275625456136,-4.74181809420764,4.37885048026874,1.16008533958402,1.51191284449562,1.96818762034352,3.60998730762343,-3.25719185308927,5.33975743553475
attitude_absolute,bot,reference,3.72837709070975,2.49340494554936,2.60753224714646,8.41904255507624,7.00113470036187,15.4201772554381,0.934862858619775,1.44418023163869,1.77303056129308,3.29101217040543,-2.67539586448034,5.06055046682844,-0.37566068224339,1.63575283454215,2.52585175790386,4.35426364659965,-4.10971817728138,3.702129364873,1.30210328406118,1.37972923019154,1.9003785778624,3.39599945509469,-3.50890494902858,5.0098396966979
attitude_absolute,mid,compared,3.60890017158843,1.85615275501136,3.0811737830656,3.50610496247654,9.67992487957849,13.186029842055,1.18080725605253,2.3235171834944,2.680189342611,5.31832613721919,-3.46816765322134,9.4066562098457,-0.0336247321533268,1.52210855365388,1.54519921094761,2.8531738348037,-4.5081865947602,3.29819281458136,1.14006247261366,1.24992499834573,1.70235123520815,3.13720635247324,-2.74795209633807,4.39014339228613
attitude_absolute,mid,reference,3.43338927437102,1.01808078972674,3.28769245018867,1.03962428604181,10.7900345184695,11.8296588045114,-0.0462263984414785,2.04578402133432,2.05815278269292,3.8859054710041,-4.66852544396431,5.21781217970145,0.213893010790755,2.01117511510764,2.14379483495175,4.11270937080749,-4.2515883799673,4.5983267273148,-0.613798038806602,1.60171182089206,1.71584753020456,3.55926982581388,-4.99321360417095,3.34178784386586
attitude_absolute,top,compared,4.60826996028255,2.4747272571637,3.72215432752603,7.90103104579427,13.8782745130701,21.7793055588644,0.442177924153886,2.17602682285342,2.34534000304554,4.86916696303316,-5.06350351912732,6.83479473939716,2.27798921461608,2.53599242174168,3.58531656300571,6.63671621205192,-3.87059387212247,8.60670581318421,-0.0726398002401963,1.61864118530807,1.6262722533055,3.08607085830911,-4.86370459171432,3.86463181897934
attitude_absolute,top,reference,3.58953594508896,2.77749870408377,2.16938335122772,8.98518246741832,4.91553064983224,13.9007131172506,-0.686379663056602,1.29011628012016,1.68825957990127,3.08264846723215,-3.92499256010777,2.73932748656213,2.1872797725645,1.39101470692722,2.69636873531506,4.44134207925153,-1.4304631002534,5.61034225677138,0.033715950444249,0.980919860250106,1.40042990872439,2.69160247670007,-2.46124558362842,2.85191811635475
attitude_run_centered,bot,compared,4.22131816936363,2.74821213823025,3.02437319371722,10.1638125979266,9.13808711735475,19.3018997152813,1.12560750489097,1.82103447314308,2.19322473373978,4.31457321955589,-3.4312780504507,7.02325285237464,-0.292718794729858,1.86536564927796,2.90511829143818,5.19657433171015,-4.64658294257856,4.47401640014312,1.17388879171665,1.51170612240531,1.97522891297453,3.60698807698877,-3.24243749636889,5.35231934326919
attitude_run_centered,bot,reference,3.73901800018727,2.51767254937307,2.60742401676751,8.4226681141696,7.00075912233478,15.4234272365044,0.941627000612854,1.4450556889423,1.77670192737559,3.29745387730647,-2.66983552321102,5.0716418919292,-0.280864811895699,1.63481904594069,2.53513561213794,4.35256596075733,-4.0151501673021,3.79418801319661,1.31586977959667,1.37954246118191,1.90929661635423,3.4104082523197,-3.49505438764081,5.02377226663424
attitude_run_centered,mid,compared,3.6045602053146,1.847527632229,3.08110085021565,3.47190522430408,9.67934147898287,13.1512467032869,1.18008961314045,2.32376049740732,2.67922801578148,5.31259107615242,-3.47167311474409,9.40735933537719,-0.0359846458583703,1.52191582092746,1.54483281731062,2.85031131243089,-4.50826340551152,3.29556448207451,1.12650368758561,1.24980233181899,1.69489775202887,3.1203202458884,-2.76262554121554,4.37541537897568
attitude_run_centered,mid,reference,3.42035896327073,0.955845588735952,3.28796647707503,0.957717104318132,10.7918158544812,11.7495329587994,-0.0476096372257656,2.04692722930474,2.05683809651372,3.88279025809116,-4.66834196603793,5.21400321562295,0.209831643090897,2.01010775043291,2.11733450971068,4.01946429396598,-4.25209885707375,4.59170793718162,-0.62684095302893,1.60215867940022,1.72210850030905,3.56833969615715,-5.00936003323738,3.32756864771624
