shift_s,mode,route,metric,compared_mean,reference_mean,mean_difference,sd_difference,positive_flights,min_difference
-0.2,attitude_absolute,bot,vt_rmse_3d_cm,4.25535398466732,3.71335052312119,0.542003461546128,0.208257703676866,5,0.344874906793386
-0.2,attitude_absolute,bot,visual_dispersion_3d_cm,3.0752693224419,2.58918764573676,0.486081676705139,0.229800479978989,5,0.205291699621829
-0.2,attitude_absolute,bot,vk_rmse_3d_cm,3.61754512518126,3.22564291255655,0.391902212624706,0.339431580524321,5,0.0841002892729024
-0.2,attitude_absolute,bot,kt_rmse_3d_cm,2.9641903027921,2.51779323716913,0.446397065622974,0.36834580563165,5,0.0358329741136059
-0.2,attitude_absolute,bot,kalman_pos_std_3d_cm,2.75917681497637,2.33281620046408,0.426360614512294,0.406761545434302,4,-0.0361257449136403
-0.2,attitude_absolute,bot,rpy_std_deg,4.73201896286056,4.06879907404906,0.663219888811496,0.291875144293263,5,0.253058052822577
-0.2,attitude_absolute,mid,vt_rmse_3d_cm,3.63876786322384,3.5585945326011,0.0801733306227314,0.402432282997027,3,-0.407114671643432
-0.2,attitude_absolute,mid,visual_dispersion_3d_cm,3.11062466824944,3.42370863503216,-0.313083966782717,0.420008891874308,1,-0.87397055043432
-0.2,attitude_absolute,mid,vk_rmse_3d_cm,3.27597976756638,2.45282001494679,0.823159752619588,0.370656794128492,5,0.556961121626555
-0.2,attitude_absolute,mid,kt_rmse_3d_cm,2.58946079199849,2.96091390799888,-0.371453116000392,0.406283151766032,2,-0.766855980207416
-0.2,attitude_absolute,mid,kalman_pos_std_3d_cm,2.5299787490919,2.9193655942229,-0.389386845130995,0.422570234368987,2,-0.8274538737889
-0.2,attitude_absolute,mid,rpy_std_deg,4.71041695275304,6.46070178149206,-1.75028482873902,0.893014401099002,0,-3.15849853036599
-0.2,attitude_absolute,top,vt_rmse_3d_cm,4.58598402961909,3.57185632700683,1.01412770261226,0.280570982699322,5,0.70435415194815
-0.2,attitude_absolute,top,visual_dispersion_3d_cm,3.74332802662522,2.1445604906877,1.59876753593751,0.361445519067474,5,1.14332024614124
-0.2,attitude_absolute,top,vk_rmse_3d_cm,3.87773805091607,2.91331754053234,0.96442051038373,0.159842782099068,5,0.819584012327989
-0.2,attitude_absolute,top,kt_rmse_3d_cm,3.23222391539721,2.39030419798303,0.841919717414185,0.298478481185838,5,0.54932749295304
-0.2,attitude_absolute,top,kalman_pos_std_3d_cm,3.21653419541732,2.07027220337689,1.14626199204044,0.33562496111672,5,0.802764637471293
-0.2,attitude_absolute,top,rpy_std_deg,8.97377511132993,4.87383723672632,4.09993787460361,0.986274315197996,5,2.61820410871576
-0.2,attitude_run_centered,bot,vt_rmse_3d_cm,4.26175805387454,3.72383200314215,0.537926050732387,0.207775548612486,5,0.333541007279129
-0.2,attitude_run_centered,bot,visual_dispersion_3d_cm,3.07508869570772,2.58914521638198,0.485943479325746,0.229668336587349,5,0.205200986572144
-0.2,attitude_run_centered,bot,vk_rmse_3d_cm,3.61162676375002,3.22680294357776,0.384823820172261,0.345626200067229,5,0.0523415229301105
-0.2,attitude_run_centered,bot,kt_rmse_3d_cm,2.9641903027921,2.51779323716913,0.446397065622974,0.36834580563165,5,0.0358329741136059
-0.2,attitude_run_centered,bot,kalman_pos_std_3d_cm,2.75917681497637,2.33281620046408,0.426360614512294,0.406761545434302,4,-0.0361257449136403
-0.2,attitude_run_centered,bot,rpy_std_deg,4.73201896286056,4.06879907404906,0.663219888811496,0.291875144293263,5,0.253058052822577
-0.2,attitude_run_centered,mid,vt_rmse_3d_cm,3.63305073042043,3.54910691215952,0.083943818260907,0.424784441316697,3,-0.409786119487842
-0.2,attitude_run_centered,mid,visual_dispersion_3d_cm,3.11057048640801,3.42418705482562,-0.313616568417611,0.419989895555734,1,-0.874280303582496
-0.2,attitude_run_centered,mid,vk_rmse_3d_cm,3.26830620366383,2.43479026132397,0.833515942339854,0.398595027054306,5,0.598677519245503
-0.2,attitude_run_centered,mid,kt_rmse_3d_cm,2.58946079199849,2.96091390799888,-0.371453116000392,0.406283151766032,2,-0.766855980207416
-0.2,attitude_run_centered,mid,kalman_pos_std_3d_cm,2.5299787490919,2.9193655942229,-0.389386845130995,0.422570234368987,2,-0.8274538737889
-0.2,attitude_run_centered,mid,rpy_std_deg,4.71041695275304,6.46070178149206,-1.75028482873902,0.893014401099002,0,-3.15849853036599
-0.2,attitude_run_centered,top,vt_rmse_3d_cm,4.73162139525716,3.73436188755821,0.997259507698945,0.292169724560536,5,0.67008449223993
-0.2,attitude_run_centered,top,visual_dispersion_3d_cm,3.74313355509761,2.14452435566447,1.59860919943313,0.361897575828365,5,1.1424248426799
-0.2,attitude_run_centered,top,vk_rmse_3d_cm,4.02763556208823,3.083520803179,0.944114758909226,0.160812036290261,5,0.789911269479334
-0.2,attitude_run_centered,top,kt_rmse_3d_cm,3.23222391539721,2.39030419798303,0.841919717414185,0.298478481185838,5,0.54932749295304
-0.2,attitude_run_centered,top,kalman_pos_std_3d_cm,3.21653419541732,2.07027220337689,1.14626199204044,0.33562496111672,5,0.802764637471293
-0.2,attitude_run_centered,top,rpy_std_deg,8.97377511132993,4.87383723672632,4.09993787460361,0.986274315197996,5,2.61820410871576
-0.2,original_static,bot,vt_rmse_3d_cm,4.65830620240105,4.00677154556714,0.651534656833915,0.400559030945538,5,0.395924085449236
-0.2,original_static,bot,visual_dispersion_3d_cm,3.57098482850612,2.99382206687262,0.577162761633503,0.164545297904483,5,0.314801654244595
-0.2,original_static,bot,vk_rmse_3d_cm,4.02402357230137,3.53372230587216,0.490301266429206,0.445503722521852,5,0.0524989769856226
-0.2,original_static,bot,kt_rmse_3d_cm,2.9641903027921,2.51779323716913,0.446397065622974,0.36834580563165,5,0.0358329741136059
-0.2,original_static,bot,kalman_pos_std_3d_cm,2.75917681497637,2.33281620046408,0.426360614512294,0.406761545434302,4,-0.0361257449136403
-0.2,original_static,bot,rpy_std_deg,4.73201896286056,4.06879907404906,0.663219888811496,0.291875144293263,5,0.253058052822577
-0.2,original_static,mid,vt_rmse_3d_cm,4.31423644230236,4.29020549928891,0.0240309430134496,0.246911525775647,3,-0.305122054985915
-0.2,original_static,mid,visual_dispersion_3d_cm,3.86712386209602,4.18963823569565,-0.322514373599631,0.284674435072831,0,-0.731773828694545
-0.2,original_static,mid,vk_rmse_3d_cm,3.81031877144716,3.61053342074781,0.199785350699342,0.251311281875354,4,-0.217752654376128
-0.2,original_static,mid,kt_rmse_3d_cm,2.58946079199849,2.96091390799888,-0.371453116000392,0.406283151766032,2,-0.766855980207416
-0.2,original_static,mid,kalman_pos_std_3d_cm,2.5299787490919,2.9193655942229,-0.389386845130995,0.422570234368987,2,-0.8274538737889
-0.2,original_static,mid,rpy_std_deg,4.71041695275304,6.46070178149206,-1.75028482873902,0.893014401099002,0,-3.15849853036599
-0.2,original_static,top,vt_rmse_3d_cm,6.16678067485527,4.38410390814847,1.78267676670681,0.528884461169153,5,0.878274031907142
-0.2,original_static,top,visual_dispersion_3d_cm,5.4507944036629,3.40414047451781,2.04665392914509,0.461349648227481,5,1.40550763974135
-0.2,original_static,top,vk_rmse_3d_cm,5.50998248137875,3.67220127885807,1.83778120252068,0.719766105160521,5,0.681711178376958
-0.2,original_static,top,kt_rmse_3d_cm,3.23222391539721,2.39030419798303,0.841919717414185,0.298478481185838,5,0.54932749295304
-0.2,original_static,top,kalman_pos_std_3d_cm,3.21653419541732,2.07027220337689,1.14626199204044,0.33562496111672,5,0.802764637471293
-0.2,original_static,top,rpy_std_deg,8.97377511132993,4.87383723672632,4.09993787460361,0.986274315197996,5,2.61820410871576
-0.15,attitude_absolute,bot,vt_rmse_3d_cm,4.23385269110365,3.69986580273581,0.533986888367841,0.228337452430608,5,0.29377241734572
-0.15,attitude_absolute,bot,visual_dispersion_3d_cm,3.04578610389337,2.57092065183613,0.474865452057236,0.265503357515786,5,0.176049196559752
-0.15,attitude_absolute,bot,vk_rmse_3d_cm,3.51551419384988,3.12895500041138,0.386559193438503,0.339476094349897,5,0.052915049426145
-0.15,attitude_absolute,bot,kt_rmse_3d_cm,2.95962268805736,2.51802219708998,0.44160049096738,0.371649967270687,5,0.0148328763240295
-0.15,attitude_absolute,bot,kalman_pos_std_3d_cm,2.75482118641853,2.33284003542052,0.421981150998015,0.411410745750232,4,-0.060776476679504
-0.15,attitude_absolute,bot,rpy_std_deg,4.7332287660868,4.06812525154341,0.665103514543395,0.293845513118322,5,0.253794677290718
-0.15,attitude_absolute,mid,vt_rmse_3d_cm,3.61702243163835,3.49854295204983,0.118479479588515,0.375524599344993,3,-0.29400731985359
-0.15,attitude_absolute,mid,visual_dispersion_3d_cm,3.08583181760031,3.35958666323843,-0.273754845638128,0.386447638010981,1,-0.759883558001273
-0.15,attitude_absolute,mid,vk_rmse_3d_cm,3.22003512692973,2.33387185415383,0.886163272775904,0.334166545267066,5,0.655290383639521
-0.15,attitude_absolute,mid,kt_rmse_3d_cm,2.57293931667179,2.96092629133901,-0.38798697466722,0.385329889259593,1,-0.775985104614968
-0.15,attitude_absolute,mid,kalman_pos_std_3d_cm,2.51417829282844,2.92076082633924,-0.406582533510804,0.401444628246773,1,-0.835936641006782
-0.15,attitude_absolute,mid,rpy_std_deg,4.7102092202691,6.45297457894188,-1.74276535867278,0.893429400272184,0,-3.16158313721557
-0.15,attitude_absolute,top,vt_rmse_3d_cm,4.52100534950002,3.5572803883893,0.963724961110712,0.270009199782864,5,0.62928267013616
