shift_s,mode,route,test,metric,difference
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test4,vk_rmse_3d_cm,0.733212238092909
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test5,vk_rmse_3d_cm,0.673533547352067
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test1,kt_rmse_3d_cm,-0.766855980207416
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test2,kt_rmse_3d_cm,-0.647037843056766
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test3,kt_rmse_3d_cm,0.0948624320603928
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test4,kt_rmse_3d_cm,-0.576995412755796
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test5,kt_rmse_3d_cm,0.0387612239576232
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test1,kalman_pos_std_3d_cm,-0.8274538737889
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test2,kalman_pos_std_3d_cm,-0.675949843935751
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test3,kalman_pos_std_3d_cm,0.101339040229559
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test4,kalman_pos_std_3d_cm,-0.565755306610773
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test5,kalman_pos_std_3d_cm,0.0208857584508912
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test1,rpy_std_deg,-3.15849853036599
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test2,rpy_std_deg,-0.840231865320225
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test3,rpy_std_deg,-1.92016957373662
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test4,rpy_std_deg,-1.16463394264028
-0.2,attitude_absolute,mid,QR_motioncap_brushless_Light_mid_NoWind_test5,rpy_std_deg,-1.667890231632
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test1,vt_rmse_3d_cm,0.860238722620875
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test2,vt_rmse_3d_cm,0.70435415194815
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test3,vt_rmse_3d_cm,1.03522112074668
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test4,vt_rmse_3d_cm,1.45548064882258
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test5,vt_rmse_3d_cm,1.01534386892302
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test1,visual_dispersion_3d_cm,1.14332024614124
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test2,visual_dispersion_3d_cm,1.59583930162248
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test3,visual_dispersion_3d_cm,1.65028020343529
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test4,visual_dispersion_3d_cm,2.14110042316578
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test5,visual_dispersion_3d_cm,1.46329750532276
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test1,vk_rmse_3d_cm,0.862807010776454
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test2,vk_rmse_3d_cm,0.819584012327989
-0.2,attitude_absolute,top,QR_motioncap_brushless_Light_top_NoWind_test3,vk_rmse_3d_cm,1.21820029466748
