extent_s,mode,route,metric,min_mean,max_mean,min_positive_flights,max_positive_flights,min_individual_difference
0.05,original_static,top,kt_rmse_3d_cm,0.878952131366442,0.903113278862044,5,5,0.587390503206724
0.05,original_static,top,rpy_std_deg,4.08700546761609,4.09366861140142,5,5,2.63271478862148
0.05,original_static,top,visual_dispersion_3d_cm,2.04665392914509,2.04665392914509,5,5,1.40550763974135
0.05,original_static,top,vk_rmse_3d_cm,1.78670815915584,1.83275844051617,5,5,0.565208682233213
0.05,original_static,top,vt_rmse_3d_cm,1.78267676670681,1.78267676670681,5,5,0.878274031907142
0.1,attitude_absolute,bot,kalman_pos_std_3d_cm,0.408975964395522,0.417844360022814,4,4,-0.10237783758811
0.1,attitude_absolute,bot,kt_rmse_3d_cm,0.423315665854079,0.437265068378155,4,4,-0.024156779769934
0.1,attitude_absolute,bot,rpy_std_deg,0.667306696602165,0.670655229220341,5,5,0.255244597176611
0.1,attitude_absolute,bot,visual_dispersion_3d_cm,0.385779867057387,0.457318484414732,5,5,0.100162025766326
0.1,attitude_absolute,bot,vk_rmse_3d_cm,0.377397201844975,0.414590077568302,5,5,0.0314848644465209
0.1,attitude_absolute,bot,vt_rmse_3d_cm,0.455438055966399,0.520746924065196,5,5,0.124001512869998
0.1,attitude_absolute,mid,kalman_pos_std_3d_cm,-0.534994585093197,-0.430384789868123,0,1,-0.877018963330137
0.1,attitude_absolute,mid,kt_rmse_3d_cm,-0.511689557354471,-0.411016532606486,0,1,-0.820854344066696
0.1,attitude_absolute,mid,rpy_std_deg,-1.73913496975806,-1.73628975970115,0,0,-3.19034490102807
0.1,attitude_absolute,mid,visual_dispersion_3d_cm,-0.244635048868241,-0.201819009190894,1,2,-0.658662540980722
0.1,attitude_absolute,mid,vk_rmse_3d_cm,0.683847843120217,0.911447257259514,5,5,0.471503791178365
0.1,attitude_absolute,mid,vt_rmse_3d_cm,0.144747504773952,0.175510897217414,2,3,-0.199120433781514
0.1,attitude_absolute,top,kalman_pos_std_3d_cm,1.17067083447739,1.21761427483148,5,5,0.831550155564787
0.1,attitude_absolute,top,kt_rmse_3d_cm,0.867116158787696,0.913337084819807,5,5,0.57639986461511
0.1,attitude_absolute,top,rpy_std_deg,4.08485156352968,4.0965676036762,5,5,2.63047917277654
0.1,attitude_absolute,top,visual_dispersion_3d_cm,1.50721411635091,1.72887012821032,5,5,1.14226176220506
0.1,attitude_absolute,top,vk_rmse_3d_cm,0.855020551021327,1.26187117404489,5,5,0.717075287798762
0.1,attitude_absolute,top,vt_rmse_3d_cm,0.947602213781269,1.2142105027778,5,5,0.603111356136947
0.1,attitude_run_centered,bot,kalman_pos_std_3d_cm,0.408975964395522,0.417844360022814,4,4,-0.10237783758811
0.1,attitude_run_centered,bot,kt_rmse_3d_cm,0.423315665854079,0.437265068378155,4,4,-0.024156779769934
0.1,attitude_run_centered,bot,rpy_std_deg,0.667306696602165,0.670655229220341,5,5,0.255244597176611
0.1,attitude_run_centered,bot,visual_dispersion_3d_cm,0.385783475282343,0.457227442978299,5,5,0.100008291224821
0.1,attitude_run_centered,bot,vk_rmse_3d_cm,0.370082991131377,0.407451444203293,4,5,-0.000389738529262385
0.1,attitude_run_centered,bot,vt_rmse_3d_cm,0.451904605242081,0.516736941801356,5,5,0.110375704354954
0.1,attitude_run_centered,mid,kalman_pos_std_3d_cm,-0.534994585093197,-0.430384789868123,0,1,-0.877018963330137
0.1,attitude_run_centered,mid,kt_rmse_3d_cm,-0.511689557354471,-0.411016532606486,0,1,-0.820854344066696
0.1,attitude_run_centered,mid,rpy_std_deg,-1.73913496975806,-1.73628975970115,0,0,-3.19034490102807
0.1,attitude_run_centered,mid,visual_dispersion_3d_cm,-0.245101061074963,-0.202123467916139,1,2,-0.65882499965956
0.1,attitude_run_centered,mid,vk_rmse_3d_cm,0.698665399586629,0.925365012997796,5,5,0.390750371120468
0.1,attitude_run_centered,mid,vt_rmse_3d_cm,0.151056821810593,0.184436922436297,2,3,-0.23960129574973
