test,level,run,segment,marker,shift_s,mode,n_samples,n_native_attitude,vt_rmse_3d_cm,visual_dispersion_3d_cm,vk_rmse_3d_cm,kt_rmse_3d_cm,kalman_pos_std_3d_cm,rpy_std_deg
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,-0.2,original_static,178,2589,4.85410167659897,3.44131245691081,4.21057632294538,2.99934656413614,2.90020646458797,4.91554911130447
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,-0.2,attitude_absolute,178,2589,4.72090412430898,3.15082506982282,3.92718854108313,2.99934656413614,2.90020646458797,4.91554911130447
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,-0.2,attitude_run_centered,178,2589,4.67721962337797,3.15112909408154,3.87992086045573,2.99934656413614,2.90020646458797,4.91554911130447
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,-0.15,original_static,178,2589,4.85410167659897,3.44131245691081,4.13963164190974,2.98877357163886,2.88866918054576,4.91176834448081
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,-0.15,attitude_absolute,178,2589,4.69707049628495,3.10361190457557,3.83785099951404,2.98877357163886,2.88866918054576,4.91176834448081
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,-0.15,attitude_run_centered,178,2589,4.65303919308967,3.10395548507242,3.78945250315814,2.98877357163886,2.88866918054576,4.91176834448081
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,-0.1,original_static,178,2589,4.85410167659897,3.44131245691081,4.07014013713001,2.98644128570093,2.88413603391079,4.90754086819883
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,-0.1,attitude_absolute,178,2589,4.67865741033143,3.07407848925933,3.76099558192257,2.98644128570093,2.88413603391079,4.90754086819883
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,-0.1,attitude_run_centered,178,2589,4.63444173595027,3.07446521566437,3.71191699717806,2.98644128570093,2.88413603391079,4.90754086819883
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,-0.05,original_static,178,2589,4.85410167659897,3.44131245691081,4.03688154484496,2.99065573948258,2.88634667638605,4.90399550103088
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,-0.05,attitude_absolute,178,2589,4.6840389269358,3.06693080656836,3.75059258031788,2.99065573948258,2.88634667638605,4.90399550103088
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,-0.05,attitude_run_centered,178,2589,4.6396655891664,3.06730679275345,3.70138617947781,2.99065573948258,2.88634667638605,4.90399550103088
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0,original_static,178,2588,4.85410167659897,3.44131245691081,4.04238792576105,2.98093688464702,2.87581997401766,4.90165349207553
QR_motioncap_brushless_Light_bot_NoWind_test1,bot,1,1,10,0,attitude_absolute,178,2588,4.69892834172264,3.07603918120597,3.79148438420396,2.98093688464702,2.87581997401766,4.90165349207553
